device_id,timestamp,temp_c,moisture,tds_ppm,water_dist_cm,water_low,salinity_ohm,salinity_type,water_temp_c,raw_json
esp32_dht22,211179,23.4,32.4,0.0,191.8,True,-1.0,Seawater,19.75,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""211179"", ""readings"": {""temp_c"": 23.4, ""moisture"": 32.4, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.75}}"
esp32_dht22,224653,23.5,30.2,0.0,191.8,True,-1.0,Seawater,19.81,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""224653"", ""readings"": {""temp_c"": 23.5, ""moisture"": 30.2, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.81}}"
esp32_dht22,238215,23.5,29.3,0.0,191.3,True,-1.0,Seawater,19.81,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""238215"", ""readings"": {""temp_c"": 23.5, ""moisture"": 29.3, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.3, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.81}}"
esp32_dht22,251705,23.5,28.2,0.0,191.8,True,-1.0,Seawater,19.81,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""251705"", ""readings"": {""temp_c"": 23.5, ""moisture"": 28.2, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.81}}"
esp32_dht22,265341,23.5,27.4,0.0,191.7,True,-1.0,Seawater,19.87,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""265341"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.4, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.7, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.87}}"
esp32_dht22,278878,23.5,27.1,0.0,191.8,True,-1.0,Seawater,19.87,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""278878"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.1, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.87}}"
esp32_dht22,292948,23.5,26.9,0.0,191.7,True,8.6,Seawater,19.94,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""292948"", ""readings"": {""temp_c"": 23.5, ""moisture"": 26.9, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.7, ""water_low"": true, ""salinity_ohm"": 8.6, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.94}}"
esp32_dht22,306427,23.5,27.0,0.0,11.0,False,-1.0,Seawater,19.94,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""306427"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 11.0, ""water_low"": false, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 19.94}}"
esp32_dht22,319904,23.5,26.8,0.0,12.4,False,-1.0,Seawater,26.06,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""319904"", ""readings"": {""temp_c"": 23.5, ""moisture"": 26.8, ""tds_ppm"": 0.0, ""water_dist_cm"": 12.4, ""water_low"": false, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 26.06}}"
esp32_dht22,333377,23.5,27.0,0.0,57.1,True,-1.0,Seawater,28.19,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""333377"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 57.1, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 28.19}}"
